"code","name","high","low","close","volume","change","direction","price","sector","industry","pe_ratio","peg_ratio","eps","divyield","ptb","pts","ebitda","shares","market_cap","52wk_range"
"AIV","Apartment Investment and Management","7.880","7.720","7.830","1,061,663","0.000","","0.00","Consumer Services","Real Estate Investment Trusts","34.94","14.89","1.27","3.25","4.97","6.94","576.30M","157.09M","1.23B","4.40 - 40.96"
"AIZ","Assurant Inc","154.8","153.1","154.4","169,539","-0.6","","0.41","Finance","Accident &Health Insurance","13.15","1.47","7.61","2.11","1.29","0.8","864.39M","53.87M","8.35B","121.55 - 172.22"
"AIZN","Assurant Inc 5.25% Subordinated Notes","26.66","26.37","26.66","2,273","0.19","","0.72","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","24.56 - 27.58"
"AJG","Arthur J. Gallagher & Company","170.0","167.8","168.9","543,597","-0.7","","0.42","Finance","Specialty Insurers","25.22","2.09","2.48","2.51","2.92","1.94","887.80M","180.20M","30.56B","112.92 - 171.18"
"AJRD","Aerojet Rocketdyne Holdings","43.24","42.34","43.14","144,815","0.55","","1.29","","","62.98","1.8","0.52","N/A","19.02","1.31","183.10M","75.08M","3.20B","39.85 - 53.53"
"AJX","Great Ajax Corp","13.00","12.51","12.99","116,928","0.31","","2.44","","","9.09","N/A","1.57","8.55","0.9","4.88","N/A","17.62M","223.47M","9.62 - 14.74"
"AJXA","Great Ajax Corp 7.25% Convertible Senior","25.78","25.75","25.75","1,358","0.02","","0.08","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","4.32M","111.15M","24.00 - 27.02"
"AKA","A.K.A. Brands Holding Corp","10.90","9.94","10.04","251,206","-0.81","","7.47","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"AKO.A","Embotell Andina Sa Cl A ADR","10.000","10.000","10.000","200","0.060","","0.60","Consumer Non-Durables","Beverages (Production/Distribution)","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","9.30 - 15.06"
"AKO.B","Embotell Andna Sa Cl B ADR","12.60","12.07","12.07","5,814","-0.23","","1.87","Consumer Non-Durables","Beverages (Production/Distribution)","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","11.27 - 17.36"
"AKR","Acadia Realty Trust","21.22","20.58","20.93","171,377","-0.47","","2.20","Consumer Services","Real Estate Investment Trusts","44.2","20.68","0.65","3.64","1.52","9.51","140.01M","83.71M","1.79B","13.48 - 23.33"
"AL","Air Lease Corp Cl A","44.23","42.82","43.55","289,109","-0.94","","2.11","Technology","Diversified Commercial Services","12.61","0.9","3.43","0.69","1.26","3.05","N/A","103.23M","4.59B","36.52 - 52.96"
"AL-A","Air Lease Corp [Al/Pa]","26.85","26.68","26.85","3,377","0.08","","0.30","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","24.78 - 28.09"
"ALB","Albemarle Corp","263.1","248.0","248.5","802,881","-14.4","","5.49","Basic Industries","Major Chemicals","17.79","2.12","7.82","0.92","4.08","5.47","744.58M","110.44M","29.03B","133.82 - 291.48"
"ALC","Alcon Inc","84.34","83.53","83.55","388,554","-0.61","","0.72","Health Care","Hospital/Nursing Management","N/A","N/A","N/A","N/A","1.03","1.24","26.00M","23.18M","1.95B","62.63 - 87.49"
"ALCC","Altc Acquisition Corp Cl A","9.950","9.880","9.890","5,770","-0.010","","0.10","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"ALE","Allete Inc","63.17","62.04","62.91","208,646","-0.03","","0.05","Public Utilities","Power Generation","23.45","4.7","3.4","2.71","2","2.86","412.30M","50.95M","3.21B","56.84 - 73.10"
"ALEX","Alexander and Baldwin Inc","24.47","23.82","24.42","164,920","0.22","","0.91","Consumer Services","Marine Transportation","230.46","4.42","0.2","0.62","1.82","5.46","102.20M","49.12M","1.19B","14.89 - 26.57"
"ALG","Alamo Group","148.5","146.1","147.5","9,751","-1.6","","1.07","Capital Goods","Industrial Machinery/Components","27.79","3.9","3.89","0.37","2.95","1.48","93.56M","11.65M","1.74B","133.08 - 165.98"
"ALI-A","Altera Infrastructure LP 7.25% Ser A","3.580","3.060","3.160","16,267","-0.380","","10.73","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","3.18 - 24.66"
"ALI-B","Altera Infrastructure LP 8.50% Ser B","3.910","3.570","3.600","24,904","-0.300","","7.69","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","3.60 - 25.40"
"ALI-E","Altera Infrastructure LP 8.875% Ser E","3.610","3.400","3.530","21,123","-0.070","","1.94","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","3.58 - 25.79"
"ALI.W","Alight Inc WT [Alit/W]","2.740","2.620","2.710","136,795","-0.005","","0.18","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"ALIT","Alight Inc Cl A","10.74","10.34","10.45","1,796,531","0.02","","0.19","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"ALK","Alaska Air Group","50.85","49.68","50.46","1,000,219","-1.21","","2.34","Transportation","Air Freight/Delivery Services","10.83","2.29","6.15","1.8","2.47","1.16","1.84B","123.46M","6.38B","46.26 - 74.25"
"ALL","Allstate Corp","108.6","106.4","108.3","1,096,390","0.3","","0.28","Finance","Property-Casualty Insurers","13.84","0.85","6.77","1.58","1.72","0.9","4.70B","361.36M","39.03B","102.55 - 140.00"
"ALL-B","Allstate Corp [All/Pb]","25.97","25.91","25.97","13,662","0.06","","0.23","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","25.49 - 27.87"
"ALL-G","Allstate Corp [All/Pg]","26.33","26.28","26.31","14,800","0.03","","0.11","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","26.06 - 28.66"
"ALL-H","Allstate Corp [All/Ph]","26.72","26.62","26.72","27,810","0.01","","0.04","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","25.62 - 28.27"
"ALL-I","Allstate Corp [All/Pi]","26.49","26.33","26.39","11,627","-0.02","","0.08","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","25.24 - 27.96"
"ALLE","Allegion Plc","131.4","129.5","130.8","231,419","-0.3","","0.22","","","31.06","1.53","2.59","0.79","28.89","3.29","503.40M","95.03M","12.45B","106.52 - 148.70"
"ALLY","Ally Financial","48.42","47.10","47.40","1,636,654","-1.23","","2.53","","","13.39","2.25","1.96","1.84","0.87","2.1","N/A","479.83M","23.33B","33.32 - 56.61"
"ALP-Q","Alabama Power Co. [Alp/Pq]","25.91","25.83","25.87","7,808","-0.03","","0.12","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","25.72 - 28.60"
"ALSN","Allison Transmission Holdings","35.49","34.51","35.40","627,936","0.51","","1.46","","","24.38","0.9","1.76","1.46","8.79","3.08","707.40M","148.81M","5.19B","32.55 - 46.40"
"ALT-A","Alta Equipment Group Inc","27.55","27.35","27.35","3,152","-0.15","","0.55","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","25.49 - 29.00"
"ALTG","Alta Equipment Group Inc","13.57","13.30","13.50","79,380","-0.13","","0.95","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","8.66 - 17.38"
"ALV","Autoliv Inc","103.0","100.7","101.2","335,526","-1.9","","1.86","Capital Goods","Auto Parts:O.E.M.","19.61","2.13","6.33","1.94","2.78","1.05","1.28B","86.91M","8.96B","80.83 - 110.59"
"ALX","Alexander's Inc","257.8","253.1","254.5","16,914","-4.0","","1.56","Consumer Services","Real Estate Investment Trusts","25.1","N/A","16.62","4.1","6.13","9.25","138.66M","5.10M","1.32B","253.00 - 308.39"
"AM","Antero Midstream Corp","9.460","9.180","9.320","3,127,239","-0.230","","2.41","Consumer Services","Consumer: Greeting Cards","19.84","1.13","1.47","4.72","3.57","7.88","455.28M","186.58M","1.78B","7.49 - 11.71"
"AMAM","Ambrx Biopharma Inc ADR","10.280","9.160","9.790","27,163","0.620","","6.76","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"AMB.W","Ambac Financial Group Inc WT [Ambc/W]","3.500","2.080","2.080","5,006","-0.020","","0.95","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1.77 - 6.77"
"AMBC","Ambac Financial Group","15.32","14.67","14.80","297,290","-0.52","","3.39","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","13.09 - 18.63"
"AMBP","Ardagh Metal Packaging S.A.","9.450","9.170","9.250","346,231","-0.160","","1.70","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"AMC","AMC Entertainment Holdings Inc","27.63","22.46","23.41","76,988,237","-4.03","","14.69","","","N/A","1.25","N/A","5.44","0.78","0.46","644.04M","130.85M","3.59B","1.91 - 72.62"
"AMCR","Amcor Plc","11.71","11.54","11.69","3,734,798","0.09","","0.78","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","10.33 - 12.92"
"AME","Amtek Inc","143.4","142.1","142.2","519,905","-0.6","","0.41","Consumer Durables","Metal Fabrications","30.36","3.16","2.28","0.52","4.45","4","1.04B","230.81M","32.95B","106.96 - 143.55"
"AMG","Affiliated Managers Group","165.9","161.7","163.5","124,968","-2.0","","1.18","Finance","Investment Managers","21.12","0.93","9.03","0.42","2.97","4.84","842.60M","55.96M","9.26B","95.75 - 191.62"
"AMH","American Homes 4 Rent","42.23","41.44","42.21","717,432","0.76","","1.83","Finance","Life Insurance","N/A","21.15","N/A","0.94","1.18","5.94","473.25M","260.24M","10.79B","28.57 - 42.61"
"AMH-F","American Homes 4 Rent [Amh/Pf]","25.97","25.58","25.67","14,365","-0.20","","0.77","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","25.16 - 26.48"
"AMH-G","American Homes 4 Rent [Amh/Pg]","25.63","25.49","25.50","10,976","-0.03","","0.12","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","25.12 - 26.91"
"AMH-H","American Homes 4 Rent [Amh/Ph]","26.64","26.55","26.61","6,858","-0.07","","0.26","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","26.01 - 28.12"
"AMK","Assetmark Financial Holdings Inc","25.66","25.14","25.60","60,091","0.43","","1.71","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","21.83 - 29.54"
"AMN","Amn Healthcare Services Inc","111.9","108.6","109.3","202,699","-1.9","","1.74","Capital Goods","Building Materials","18.27","1.39","2.37","N/A","4.01","1.05","236.01M","48.04M","5.34B","66.70 - 124.62"
"AMOV","America Movil A ADR","19.06","18.64","18.69","2,571","-0.32","","1.68","","","21.0501","N/A","0.8","1.86","5.6954","0.9713","14.79B","3.29B","62.49B","12.76 - 19.70"
"AMP","Ameriprise Financial Services","297.4","291.3","294.4","335,964","-3.5","","1.16","Finance","Investment Managers","18.4","0.92","8.73","2.15","3.92","2.03","2.90B","149.92M","44.65B","182.83 - 312.15"
"AMP.U","Advanced Merger Partners Inc [Ampi.U]","9.900","9.900","9.900","794","0.020","","0.20","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"AMP.W","Advanced Merger Partners Inc [Ampi/W]","2.800","2.410","2.530","148,400","1.700","","204.82","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"AMPI","Advanced Merger Partners Inc Cl A","9.740","9.730","9.740","11,594","-0.040","","0.41","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"AMPY","Amplify Energy Corp","3.080","2.940","3.020","583,185","-0.090","","2.89","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1.13 - 5.78"
"AMR","Alpha Metallurgical Resources Inc","51.23","48.80","50.21","282,645","0.09","","0.18","Transportation","Air Freight/Delivery Services","N/A","N/A","N/A","N/A","N/A","0.01","898.00M","335.14M","16.80B","0.20 - 8.63"
"AMRC","Ameresco Inc","82.57","80.04","81.71","154,451","0.25","","0.31","Basic Industries","Engineering & Construction","26.58","3.18","0.3","N/A","1.2","0.56","54.85M","45.53M","3.71B","37.70 - 101.86"
"AMRX","Amneal Pharmaceuticals Inc","4.080","4.000","4.050","397,956","0.010","","0.25","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","4.00 - 7.45"
"AMT","American Tower Corp","277.3","270.4","276.1","997,468","3.6","","1.31","Consumer Services","Telecommunications Equipment","55.61","1.99","2.5","1.9","9.17","9.38","3.74B","429.19M","116.98B","197.50 - 303.72"
"AMWL","American Well Corp Cl A","6.380","6.030","6.160","1,945,387","-0.080","","1.28","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","5.85 - 43.75"
"AMX","America Movil S.A.B. DE C.V. ADR","19.21","18.63","18.65","1,414,471","-0.53","","2.76","Public Utilities","Telecommunications Equipment","21.35","0.25","0.8","1.93","5.73","0.98","14.79B","3.29B","63.05B","12.69 - 19.79"
"AN","Autonation Inc","120.6","113.6","115.1","834,439","-5.6","","4.63","Consumer Durables","Automotive Aftermarket","11.85","2.62","4.02","N/A","1.92","0.22","916.20M","100.42M","12.12B","65.45 - 133.48"
"ANA.U","Arctos Northstar Acquisition Corp","9.920","9.920","9.920","100","-0.080","","0.80","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"ANA.W","Arctos Northstar Acquisition Corp WT","0.8501","0.8196","0.8501","22,600","0.0301","","3.67","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"ANAC","Arctos Northstar Acquisition Corp Cl A","9.790","9.740","9.790","30,272","0.020","","0.20","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"ANET","Arista Networks Inc","133.9","130.7","132.6","1,879,514","2.0","","1.49","","","50.49","1.94","3.88","N/A","10.24","10.24","350.69M","72.53M","9.48B","65.52 - 134.14"
"ANF","Abercrombie & Fitch Company","35.33","32.74","33.58","1,380,654","-1.90","","5.36","Consumer Services","Clothing/Shoe/Accessory Stores","N/A","N/A","N/A","5.48","0.86","0.3","181.74M","68.09M","2.42B","18.69 - 48.97"
"ANTM","Anthem Inc","432.3","425.6","430.5","519,834","-0.5","","0.11","","","19.98","1.37","10.57","1.43","2.06","0.62","5.75B","262.56M","113.16B","286.04 - 439.90"
"ANVS","Annovis Bio Inc","21.74","19.80","20.91","101,604","-0.13","","0.62","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"AOD","Alpine Total Dynamic Dividend","10.23","10.15","10.15","400,506","-0.06","","0.59","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","8.59 - 10.50"
"AOMR","Angel Oak Mortgage Inc","16.83","16.51","16.68","59,200","-0.09","","0.54","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"AON","AON Plc","296.3","291.6","294.4","675,174","0.7","","0.23","Finance","Specialty Insurers","21.35","1.7","6.85","0.99","7.05","3.26","2.54B","254.34M","74.71B","200.65 - 326.25"
"AOS","Smith A.O. Corp","84.16","83.15","83.71","394,976","0.08","","0.10","Consumer Durables","Metal Fabrications","30.25","3.5","1.97","0.94","6.38","3.6","549.50M","172.48M","14.42B","52.08 - 83.62"
"AP","Ampco-Pittsburgh Corp","5.140","4.750","4.750","25,124","-0.310","","6.13","Capital Goods","Fluid Controls","N/A","N/A","N/A","N/A","1.42","0.55","7.81M","12.36M","62.54M","4.12 - 8.81"
"APAM","Artisan Partners Asset Mgmt","44.81","44.06","44.50","390,554","-0.13","","0.29","","","20.74","1.37","1.7","6.78","11.99","2.36","250.43M","49.79M","2.22B","43.06 - 57.65"
"APD","Air Products and Chemicals","299.5","294.2","298.3","474,037","2.9","","1.00","Basic Industries","Major Chemicals","12.09","5.3","13.31","2.35","3.74","3.54","3.18B","217.93M","64.36B","245.75 - 316.39"
"APG","Api Group Corp","23.99","23.44","23.57","359,743","-0.28","","1.17","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","16.63 - 25.75"
"APG.U","Apollo Strategic Growth Capital II","10.020","10.000","10.000","20,097","0.000","","0.00","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"APG.W","Apollo Strategic Growth Capital II WT","1.080","1.050","1.050","34,614","-0.015","","1.41","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"APGB","Apollo Strategic Growth Capital II Cl A","9.790","9.750","9.780","128,070","0.000","","0.00","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"APH","Amphenol Corp","84.34","82.85","83.73","1,333,836","-0.54","","0.64","Capital Goods","Electrical Products","29.16","2.55","2.97","0.89","6.73","4.01","1.54B","305.43M","25.74B","58.58 - 138.20"
"APLE","Apple Hospitality REIT Inc","15.62","15.16","15.31","1,225,726","-0.34","","2.17","","","22.94","N/A","0.82","6.35","1.2","3.56","420.26M","223.28M","3.49B","12.29 - 17.44"
"APN.U","Apeiron Capital Investment Corp. Units","10.09","10.08","10.09","12,800","-0.02","","0.20","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"APO","Apollo Global Management Llc C","70.19","69.05","69.93","1,713,021","0.28","","0.40","Finance","Investment Managers","12.64","1.38","2.55","6.45","6.43","2.8","N/A","193.99M","13.51B","45.40 - 81.07"
"APO-A","Apollo Global Mgmt Inc [Apo/Pa]","25.37","25.33","25.37","18,347","0.06","","0.24","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","25.03 - 27.02"
"APO-B","Apollo Global Mgmt Inc [Apo/Pb]","26.17","26.06","26.06","1,618","-0.09","","0.34","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","25.80 - 27.56"
"APRN","Blue Apron Holdings Inc","9.590","8.400","8.400","1,476,787","-0.960","","10.26","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","30.04M","281.20M","3.52 - 12.76"
"APS.U","Apollo Strategic Growth Capital Unit","10.34","10.33","10.33","5,100","-0.07","","0.67","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","10.00 - 12.31"
"APS.W","Apollo Strategic Growth Capital [Apsg/W]","1.350","1.200","1.260","141,758","-0.080","","5.94","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.75 - 2.93"
"APSG","Apollo Strategic Growth Capital Cl A","9.880","9.850","9.870","190,105","0.000","","0.00","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","9.64 - 11.40"
"APT-A","Aptiv Plc 5.5% Mandatory Cnv Ser A","187.7","182.0","182.0","2,274","-4.7","","2.51","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","142.72 - 201.10"
"APTS","Preferred Apartment Communities","14.27","13.90","14.21","426,750","0.21","","1.50","","","N/A","N/A","N/A","4.88","0.64","2.73","142.18M","33.32M","466.50M","7.04 - 14.56"
"APTV","Aptiv Plc","168.6","163.1","163.8","777,930","-5.2","","3.05","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","119.75 - 180.81"
"AQN","Algonquin Pwr & Util","13.96","13.81","13.95","1,533,383","0.07","","0.50","","","59.78","N/A","0.18","4.36","1.86","3.26","504.92M","385.98M","5.36B","13.39 - 17.86"
"AQNA","Algonquin Power & Utilities Corp","27.60","27.27","27.45","19,440","0.15","","0.55","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","25.71 - 28.75"
"AQNB","Algonquin Power & Utilities Corp 6.20%","27.48","27.30","27.40","29,744","0.09","","0.33","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","26.80 - 28.75"
"AQNU","Algonquin Power & Utilities Corp","45.38","45.05","45.31","14,787","0.04","","0.09","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"AQUA","Evoqua Water Technologies Corp","46.72","45.60","45.73","299,409","-0.53","","1.15","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","22.00 - 49.38"
"AR","Antero Resources Corp","17.48","16.60","16.71","3,634,849","-0.70","","4.02","","","436.05","2","0.04","N/A","0.75","2.08","1.36B","315.73M","5.50B","4.71 - 21.99"
"ARC","American Reprographics Company","3.340","3.120","3.310","260,026","0.150","","4.75","Consumer Services","Professional Services","19.33","2.32","0.24","N/A","1.36","0.54","56.98M","46.44M","146.75M","1.35 - 3.43"
"ARCH","Arch Resources Inc","85.53","81.13","85.03","141,202","0.16","","0.19","","","1.01","N/A","71.83","1.94","2.23","0.79","382.34M","24.34M","2.07B","39.02 - 105.58"
"ARCO","Arcos Dorados Holdings Inc","5.470","5.230","5.280","595,662","-0.200","","3.65","Consumer Services","Restaurants","38.85","2.19","0.26","N/A","5.21","0.68","249.87M","210.89M","1.16B","4.33 - 6.82"
"ARDC","Ares Dynamic Credit Allocation","15.78","15.60","15.61","48,535","-0.06","","0.38","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","13.79 - 16.66"
"ARE","Alexandria Real Estate Equities","214.4","210.7","214.0","357,780","2.1","","0.97","Consumer Services","Real Estate Investment Trusts","275.76","828.1","0.44","2.83","2.21","11.12","639.55M","93.65M","19.85B","154.37 - 213.25"
"ARES","Ares Management LP","78.36","77.30","77.93","283,769","-0.76","","0.97","","","24.9","0.64","0.75","4.96","5.63","2.7","260.09M","213.98M","16.84B","44.43 - 90.08"
"ARG-A","Argo Group Intl Hldgs Ltd 7% Ser A","26.73","26.61","26.64","7,144","-0.01","","0.04","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","26.11 - 28.30"
"ARGD","Argo Grp Itl Snr NTS","25.59","25.30","25.44","26,078","-0.10","","0.39","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","25.14 - 26.20"
